2009;2013;Anzahl
CDU_CSU;CDU_CSU;11440000
CDU_CSU;SPD;710000
CDU_CSU;Linke;110000
CDU_CSU;Gruene;140000
CDU_CSU;FDP;350000
CDU_CSU;AfD;290000
CDU_CSU;Andere;180000
CDU_CSU;Nicht;390000
CDU_CSU;Gestorben;1050000
SPD;CDU_CSU;920000
SPD;SPD;6720000
SPD;Linke;310000
SPD;Gruene;440000
SPD;FDP;50000
SPD;AfD;180000
SPD;Andere;180000
SPD;Nicht;510000
SPD;Gestorben;680000
Linke;CDU_CSU;
Linke;SPD;
Linke;Linke;
Linke;Gruene;
Linke;FDP;
Linke;AfD;
Linke;Andere;
Linke;Nicht;
Linke;Gestorben;
Gruene;CDU_CSU;
Gruene;SPD;
Gruene;Linke;
Gruene;Gruene;
Gruene;FDP;
Gruene;AfD;
Gruene;Andere;
Gruene;Nicht;
Gruene;Gestorben;
FDP;CDU_CSU;
FDP;SPD;
FDP;Linke;
FDP;Gruene;
FDP;FDP;
FDP;AfD;
FDP;Andere;
FDP;Nicht;
FDP;Gestorben;
AfD;CDU_CSU;
AfD;SPD;
AfD;Linke;
AfD;Gruene;
AfD;FDP;
AfD;AfD;
AfD;Andere;
AfD;Nicht;
AfD;Gestorben;
Andere;CDU_CSU;
Andere;SPD;
Andere;Linke;
Andere;Gruene;
Andere;FDP;
Andere;AfD;
Andere;Andere;
Andere;Nicht;
Andere;Gestorben;
Nicht;CDU_CSU;
Nicht;SPD;
Nicht;Linke;
Nicht;Gruene;
Nicht;FDP;
Nicht;AfD;
Nicht;Andere;
Nicht;Nicht;
Nicht;Gestorben;
Erst;CDU_CSU;
Erst;SPD;
Erst;Linke;
Erst;Gruene;
Erst;FDP;
Erst;AfD;
Erst;Andere;
Erst;Nicht;
Erst;Gestorben;
Zugezogen;CDU_CSU;
Zugezogen;SPD;
Zugezogen;Linke;
Zugezogen;Gruene;
Zugezogen;FDP;
Zugezogen;AfD;
Zugezogen;Andere;
Zugezogen;Nicht;
Zugezogen;Gestorben;
